Source,Target,Type,Id,Label,Weight
Alex Piet,Anton Arkhipov,Undirected,421,,1
Alex Piet,Ahmed El Hady,Undirected,422,,1
Alex Piet,Marino Pagan,Undirected,423,,1
Alex Piet,Alexander J Riordan,Undirected,424,,1
Alex Piet,Kenneth D. Miller,Undirected,425,,1
Alex Piet,John Cunningham,Undirected,426,,1
Alex Piet,Dr. Emily Jane Dennis,Undirected,427,,1
Alex Piet,Tyler Boyd-Meredith,Undirected,428,,1
Alex Piet,Shawn Olsen,Undirected,429,,1
Alex Piet,Marina Garrett,Undirected,430,,1
Alex Piet,Douglas Ollerenshaw,Undirected,431,,1
Alex Piet,Stefan Mihalas,Undirected,432,,1
Soroosh Solhjoo,Brian O'Rourke,Undirected,433,,1
Soroosh Solhjoo,Mark Haigney,Undirected,434,,1
Soroosh Solhjoo,Ali Motie Nasrabadi,Undirected,435,,1
Soroosh Solhjoo,Seyed Mohammad Reza Hashemi Gol...,Undirected,436,,1
Soroosh Solhjoo,Gernot Plank,Undirected,437,,1
Soroosh Solhjoo,Natalia Trayanova,Undirected,438,,1
Soroosh Solhjoo,Charles Steenbergen,Undirected,439,,1
Soroosh Solhjoo,Dong I Lee,Undirected,440,,1
Soroosh Solhjoo,Anthony R. Artino,Undirected,441,,1
Soroosh Solhjoo,Alexis Battista,Undirected,442,,1
Soroosh Solhjoo,Jeroen J. G. van Merrienboer,Undirected,443,,1
Soroosh Solhjoo,Steven Durning,Undirected,444,,1
Soroosh Solhjoo,Lambert Schuwirth,Undirected,445,,1
Soroosh Solhjoo,"Elexis McBee, DO, MPH",Undirected,446,,1
Soroosh Solhjoo,Ciprian Crainiceanu,Undirected,447,,1
Soroosh Solhjoo,Deepthi Ashok,Undirected,448,,1
Soroosh Solhjoo,Barbara Roman,Undirected,449,,1
Soroosh Solhjoo,junaid afzal,Undirected,450,,1
